date,year,month,day,day_of_week,solar_mwh,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm
2023-12-02,2023,12,2,Saturday,86829.99999999999,18.72,25.69,12.62,61.42,1.38,0.02,2.93,3.13,0.2771297278190172,0.2626498002663116,0.2797979797979797,0.6356962606102317,0.1653846153846154,0.0001927896664738,0.9948862056638996,0.9948477147281896
2023-12-03,2023,12,3,Sunday,91810.0,17.77,23.91,13.98,67.75,2.15,2.4,1.28,2.87,0.2435489572287027,0.2033954727030624,0.3255892255892256,0.7083046570314292,0.3134615384615385,0.0231347599768652,0.9932478055367994,0.9945896040980028
2023-12-04,2023,12,4,Monday,96060.0,18.12,25.62,13.0,57.86,1.59,0.02,2.19,2.96,0.255920820077766,0.2603195739014646,0.2925925925925926,0.5948612066987841,0.2057692307692308,0.0001927896664738,0.9941514080311394,0.9946789500853752
2023-12-05,2023,12,5,Tuesday,95530.0,16.27,24.24,9.52,40.39,1.27,0.0,3.54,3.7,0.1905266878755743,0.2143808255659119,0.1754208754208754,0.3944712089928883,0.1442307692307692,0.0,0.9954919172260396,0.9954135726482152
2023-12-06,2023,12,6,Wednesday,92100.0,16.72,24.59,9.8,47.87,1.54,0.0,3.74,3.74,0.2064333686815128,0.2260319573901463,0.1848484848484848,0.4802707042899747,0.1961538461538461,0.0,0.9956905111808396,0.9954532819759362
2023-12-07,2023,12,7,Thursday,92790.0,17.35,25.72,10.5,46.95,1.18,0.0,3.54,3.55,0.2287027218098268,0.2636484687083886,0.2084175084175084,0.4697178251892637,0.1269230769230769,0.0,0.9954919172260396,0.9952646626692612
2023-12-08,2023,12,8,Friday,95499.99999999996,18.53,26.16,12.6,44.56,1.01,0.0,3.12,3.13,0.2704135737009544,0.2782956058588548,0.2791245791245791,0.4423032805689379,0.0942307692307692,0.0,0.9950748699209596,0.9948477147281896
2023-12-09,2023,12,9,Saturday,96229.99999999996,18.3,26.21,12.88,36.64,1.18,0.0,3.42,3.43,0.2622834924001413,0.2799600532623169,0.2885521885521886,0.3514567561367286,0.1269230769230769,0.0,0.9953727608531596,0.9951455346860978
2023-12-10,2023,12,10,Sunday,93970.0,17.14,26.21,10.88,34.22,1.34,0.0,4.03,4.04,0.2212796041003888,0.2799600532623169,0.2212121212121212,0.3236980958935536,0.1576923076923077,0.0,0.9959784724152996,0.9957511019338444
2023-12-11,2023,12,11,Monday,97740.0,17.24,25.87,10.04,30.71,1.32,0.0,4.01,4.06,0.2248144220572639,0.2686418109187749,0.1929292929292929,0.2834365680201881,0.1538461538461538,0.0,0.9959586130198196,0.9957709565977048
2023-12-12,2023,12,12,Tuesday,91320.0,16.88,25.77,8.14,36.33,1.17,0.0,3.98,4.04,0.2120890774125131,0.2653129161118508,0.128956228956229,0.3479008947006194,0.125,0.0,0.9959288239265996,0.9957511019338444
