date,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm
2023-06-01,28.38,35.44,21.47,56.12,2.87,0.19,7.43,7.72,0.6185931424531635,0.5872170439414113,0.5777777777777777,0.574902500573526,0.45192307692307704,0.0018315018315018315,0.9993545696468998,0.9994043600841838
2023-06-02,29.31,35.22,22.45,55.83,2.4,0.0,6.68,7.66,0.6514669494521032,0.5798934753661782,0.6107744107744107,0.5715760495526496,0.3615384615384616,0.0,0.9986098423163998,0.9993447960926022
2023-06-03,31.55,37.24,25.5,50.16,1.59,0.01,7.15,7.6,0.7306468716861082,0.6471371504660453,0.7134680134680135,0.5065381968341361,0.20576923076923082,9.639483323693851e-05,0.9990765381101798,0.9992852321010206
2023-06-04,30.56,35.28,25.89,53.07,2.64,0.03,5.89,7.26,0.6956521739130436,0.5818908122503328,0.7265993265993266,0.5399174122505161,0.40769230769230774,0.0002891844997108155,0.9978253961949397,0.9989477028153914
2023-06-05,31.41,37.95,24.3,43.57,1.97,0.0,7.98,8.01,0.7256981265464829,0.6707723035952065,0.6730639730639731,0.4309474650149117,0.2788461538461539,0.0,0.9999007030225999,0.9996922527101616
2023-06-06,32.55,39.72,25.24,40.4,1.73,0.0,7.51,7.82,0.7659950512548602,0.7296937416777627,0.7047138047138046,0.3945859142005047,0.2326923076923077,0.0,0.9994340072288198,0.9995036334034865
2023-06-07,32.56,39.38,27.16,40.58,2.54,0.0,7.94,7.98,0.7663485330505481,0.7183754993342211,0.7693602693602694,0.3966506079376004,0.3884615384615385,0.0,0.9998609842316399,0.9996624707143709
2023-06-08,33.1,39.46,26.1,45.06,3.52,1.14,7.27,7.9,0.7854365500176742,0.7210386151797601,0.7336700336700337,0.4480385409497592,0.5769230769230771,0.010989010989010988,0.9991956944830598,0.9995830520589287
2023-06-09,32.38,39.18,26.48,48.05,3.84,5.08,7.94,8.01,0.7599858607281725,0.7117177097203726,0.7464646464646465,0.48233539802707043,0.6384615384615386,0.04896857528436476,0.9998609842316399,0.9996922527101616
2023-06-10,32.4,39.55,26.19,44.22,4.77,1.98,7.92,8.01,0.7606928243195475,0.7240346205059918,0.7367003367003367,0.4384033035099793,0.8173076923076924,0.019086176980913822,0.9998411248361598,0.9996922527101616
2023-06-11,32.4,38.68,26.42,49.48,4.39,0.01,7.85,8.07,0.7606928243195475,0.6950732356857521,0.7444444444444445,0.4987382427162193,0.7442307692307694,9.639483323693851e-05,0.9997716169519799,0.9997518167017433
2023-06-12,33.58,40.46,27.1,45.36,4.51,0.0,7.89,7.94,0.8024036762106751,0.7543275632490012,0.7673400673400674,0.4514796971782519,0.7673076923076925,0.0,0.9998113357429399,0.9996227613866497
2023-06-13,34.05,40.8,27.8,42.11,4.9,0.0,7.69,8.0,0.8190173206079886,0.765645805592543,0.7909090909090909,0.41420050470291353,0.8423076923076925,0.0,0.9996127417881399,0.9996823253782314
2023-06-14,33.42,39.23,27.71,43.14,5.0,0.0,7.51,7.87,0.7967479674796748,0.7133821571238346,0.787878787878788,0.4260151410874054,0.8615384615384617,0.0,0.9994340072288198,0.9995532700631379
2023-06-15,33.37,38.51,28.71,44.13,4.06,0.26,6.65,7.68,0.7949805585012372,0.6894141145139812,0.8215488215488216,0.4373709566414316,0.6807692307692309,0.0025062656641604013,0.9985800532231798,0.9993646507564627
2023-06-16,32.71,37.8,27.31,46.93,3.56,0.28,6.16,7.35,0.7716507599858607,0.66577896138482,0.7744107744107743,0.46948841477403075,0.5846153846153848,0.0026990553306342783,0.9980934980339198,0.9990370488027638
2023-06-17,29.53,32.3,27.61,60.59,5.68,2.51,4.44,7.53,0.6592435489572287,0.48268974700399436,0.7845117845117845,0.6261757283780683,0.9923076923076924,0.02419510314247156,0.9963855900226396,0.9992157407775086
2023-06-18,29.15,32.8,26.56,74.09,4.89,9.75,1.67,7.5,0.6458112407211029,0.4993342210386149,0.7491582491582491,0.7810277586602432,0.8403846153846155,0.09398496240601505,0.9936350637486594,0.9991859587817179
2023-06-19,27.38,29.29,25.48,81.26,5.72,37.25,4.68,7.32,0.5832449628844114,0.3824900133155791,0.7127946127946129,0.8632713925212204,1.0,0.3590707538075959,0.9966239027683996,0.9990072668069729
2023-06-20,30.54,35.53,25.25,69.3,3.22,12.5,5.51,7.15,0.6949452103216683,0.590213049267643,0.705050505050505,0.7260839642119752,0.5192307692307694,0.12049354154617313,0.9974480676808197,0.9988385021641584
2023-06-21,30.94,36.7,25.83,65.74,4.75,2.02,6.39,7.16,0.7090844821491694,0.6291611185086552,0.7245791245791245,0.6852489103005276,0.8134615384615387,0.01947175631386158,0.9983218810819398,0.9988484294960887
2023-06-22,31.19,37.43,26.13,63.4,4.2,0.24,4.92,6.8,0.7179215270413574,0.6534620505992008,0.7346801346801347,0.658407891718284,0.707692307692308,0.002313475997686524,0.9968622155141597,0.998491045546599
2023-06-23,32.4,38.68,26.68,57.96,4.07,0.48,5.21,6.67,0.7606928243195475,0.6950732356857521,0.7531986531986532,0.5960082587749483,0.6826923076923079,0.004626951995373048,0.9971501767486197,0.9983619902315054
2023-06-24,30.96,36.86,26.69,65.81,3.59,2.88,5.69,6.57,0.7097914457405444,0.6344873501997335,0.7535353535353536,0.6860518467538426,0.5903846153846155,0.027761711972238288,0.9976268022401397,0.9982627169122027
2023-06-25,27.77,30.41,25.31,80.72,2.34,6.48,4.13,6.55,0.5970307529162249,0.41977363515312915,0.7070707070707071,0.8570773113099334,0.35000000000000003,0.062463851937536154,0.9960777693926995,0.9982428622483421
2023-06-26,28.06,31.42,25.84,79.1,1.92,5.82,3.66,6.56,0.607281724991163,0.45339547270306246,0.724915824915825,0.8384950676760724,0.2692307692307693,0.056101792943898214,0.9956110735989195,0.9982527895802724
2023-06-27,27.34,30.31,25.29,81.56,1.98,3.12,5.82,7.1,0.5818310357016614,0.4164447403462048,0.7063973063973064,0.8667125487497133,0.2807692307692308,0.030075187969924814,0.9977558883107597,0.9987888655045071
2023-06-28,28.14,31.83,24.98,78.4,2.98,5.2,4.97,7.11,0.6101095793566632,0.46704394141145134,0.695959595959596,0.8304657031429227,0.4730769230769231,0.050125313283208024,0.9969118640028597,0.9987987928364374
2023-06-29,30.09,34.75,25.81,70.04,1.65,7.28,3.5,7.23,0.6790385295157298,0.5642476697736349,0.7239057239057238,0.7345721495755908,0.2173076923076923,0.07017543859649124,0.9954521984350795,0.9989179208196005
2023-06-30,29.94,33.94,25.89,72.58,1.77,4.66,4.83,7.46,0.6737363025804172,0.5372836218375496,0.7265993265993266,0.7637072723101628,0.24038461538461542,0.04491999228841334,0.9967728482344996,0.9991462494539968
2023-07-01,30.31,34.81,25.99,72.11,2.18,5.5,6.49,7.04,0.6868151290208554,0.5662450066577895,0.7299663299663299,0.7583161275521908,0.3192307692307693,0.053017158280316175,0.9984211780593397,0.9987293015129254
2023-07-02,30.78,35.23,26.69,70.04,2.85,8.28,4.89,7.06,0.7034287734181691,0.5802263648468706,0.7535353535353536,0.7345721495755908,0.4480769230769232,0.07981492192018508,0.9968324264209396,0.998749156176786
2023-07-03,31.42,37.1,25.69,66.63,2.74,5.94,6.23,7.32,0.7260516083421705,0.6424766977363514,0.7198653198653199,0.6954576737783894,0.426923076923077,0.05725853094274148,0.9981630059180997,0.9990072668069729
2023-07-04,32.86,39.22,27.02,61.35,2.85,2.08,5.99,7.57,0.7769529869211736,0.7130492676431424,0.7646464646464647,0.6348933241569167,0.4480769230769232,0.02005012531328321,0.9979246931723398,0.9992554501052298
2023-07-05,31.9,37.28,27.11,67.09,2.0,10.48,5.93,6.65,0.7430187345351714,0.6484687083888148,0.7676767676767676,0.7007341133287451,0.28461538461538466,0.10102178523231156,0.9978651149858997,0.9983421355676448
2023-07-06,28.9,32.0,26.47,78.86,1.61,0.6,5.71,6.82,0.6369741958289147,0.47270306258322226,0.7461279461279461,0.8357421426932782,0.20961538461538465,0.00578368999421631,0.9976466616356197,0.9985109002104595
2023-07-07,28.64,33.1,25.83,78.29,0.82,12.09,2.68,6.88,0.6277836691410393,0.5093209054593875,0.7245791245791245,0.829203945859142,0.057692307692307696,0.11654135338345865,0.9946379632203994,0.9985704642020411
2023-07-08,29.18,32.81,25.96,76.71,1.15,9.27,5.88,7.32,0.6468716861081655,0.49966711051930757,0.728956228956229,0.8110805230557466,0.12115384615384615,0.089358010410642,0.9978154664971998,0.9990072668069729
2023-07-09,28.93,31.97,25.68,79.05,1.31,32.25,5.15,7.45,0.6380346412159773,0.47170439414114496,0.7195286195286196,0.8379215416379903,0.15192307692307694,0.3108733371891267,0.9970905985621796,0.9991363221220665
2023-07-10,28.43,32.79,25.4,83.31,1.73,40.8,3.36,7.24,0.6203605514316012,0.4990013315579227,0.71010101010101,0.8867859600825877,0.2326923076923077,0.3932909196067091,0.9953131826667195,0.9989278481515308
2023-07-11,29.24,34.22,24.71,75.76,2.35,2.06,5.21,7.36,0.6489925768822905,0.5466045272969373,0.686868686868687,0.8001835283321863,0.351923076923077,0.019857335646809332,0.9971501767486197,0.9990469761346941
2023-07-12,29.79,34.57,24.5,73.42,1.96,0.02,6.23,6.83,0.6684340756451043,0.5582556591211716,0.6797979797979798,0.7733425097499427,0.27692307692307694,0.00019278966647387702,0.9981630059180997,0.9985208275423897
2023-07-13,29.6,33.89,25.59,77.1,2.88,0.55,5.77,6.66,0.6617179215270413,0.5356191744340877,0.7164983164983165,0.8155540261527873,0.45384615384615395,0.005301715828031618,0.9977062398220597,0.9983520628995751
2023-07-14,28.35,31.43,25.69,82.35,2.58,0.38,4.43,6.49,0.6175326970661011,0.4537283621837549,0.7198653198653199,0.8757742601514108,0.39615384615384625,0.003663003663003663,0.9963756603248997,0.9981832982567606
2023-07-15,28.25,31.93,25.4,82.14,2.73,2.33,5.37,6.82,0.6139978791092259,0.47037283621837545,0.71010101010101,0.8733654507914659,0.4250000000000001,0.02245999614420667,0.9973090519124597,0.9985109002104595
2023-07-16,27.79,30.55,25.03,85.64,2.09,21.69,3.45,7.25,0.5977377165075999,0.4244340878828228,0.6976430976430977,0.913512273457215,0.30192307692307696,0.20908039329091962,0.9954025499463796,0.9989377754834611
2023-07-17,28.26,32.05,24.79,84.51,2.43,22.05,4.02,7.02,0.6143513609049135,0.4743675099866842,0.6895622895622896,0.9005505849965588,0.3673076923076924,0.2125506072874494,0.9959685427175595,0.9987094468490649
2023-07-18,28.83,31.86,25.67,83.73,1.52,12.87,3.43,6.58,0.634499823259102,0.4680426098535284,0.7191919191919193,0.8916035788024776,0.19230769230769235,0.12406015037593984,0.9953826905508996,0.998272644244133
