date,year,month,day,solar_mwh,temp_avg_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,precip_mm,solar_rad_allsky_mj_m2,solar_rad_clrsky_mj_m2,temp_avg_c_norm,temp_max_c_norm,temp_min_c_norm,humidity_pct_norm,wind_speed_ms_norm,precip_mm_norm,solar_rad_allsky_mj_m2_norm,solar_rad_clrsky_mj_m2_norm,cloudiness_index,solar_mwh_lag1,solar_mwh_lag7,solar_mwh_rollmean7,temp_avg_c_lag1,temp_avg_c_lag7,temp_avg_c_rollmean7,humidity_pct_lag1,humidity_pct_lag7,humidity_pct_rollmean7,wind_speed_ms_lag1,wind_speed_ms_lag7,wind_speed_ms_rollmean7,solar_rad_allsky_mj_m2_lag1,solar_rad_allsky_mj_m2_lag7,solar_rad_allsky_mj_m2_rollmean7,day_of_week_num,dow_Friday,dow_Monday,dow_Saturday,dow_Sunday,dow_Thursday,dow_Tuesday,dow_Wednesday,month_sin,month_cos,dayofweek_sin,dayofweek_cos,precip_cumsum3,precip_cumsum7,temp_humidity_interaction,wind_radiation_interaction
2023-06-27,2023,6,27,105290.0,27.34,30.31,25.29,81.56,1.98,3.12,5.82,7.1,0.5818310357016614,0.4164447403462048,0.7063973063973064,0.8667125487497133,0.2807692307692308,0.0300751879699248,0.9977558883107596,0.9987888655045072,1.2799999999999994,105820.0,121130.0,117228.57142857143,28.06,30.54,29.80857142857143,79.1,69.3,70.61285714285714,1.92,3.22,3.2642857142857147,3.66,5.51,5.117142857142857,1,False,False,False,False,False,True,False,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,15.420000000000002,21.04,2229.8504000000003,11.5236
2023-06-28,2023,6,28,107380.0,28.14,31.83,24.98,78.4,2.98,5.2,4.97,7.11,0.6101095793566632,0.4670439414114513,0.695959595959596,0.8304657031429227,0.4730769230769231,0.050125313283208,0.9969118640028596,0.9987987928364374,2.140000000000001,105290.0,125100.0,114697.14285714286,27.34,30.94,29.40857142857143,81.56,65.74,72.42142857142856,1.98,4.75,3.011428571428572,5.82,6.39,4.914285714285714,2,False,False,False,False,False,False,True,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,14.14,24.220000000000002,2206.1760000000004,14.810599999999999
2023-06-29,2023,6,29,105250.0,30.09,34.75,25.81,70.04,1.65,7.28,3.5,7.23,0.6790385295157298,0.5642476697736349,0.7239057239057238,0.7345721495755908,0.2173076923076923,0.0701754385964912,0.9954521984350796,0.9989179208196004,3.73,107380.0,123310.0,112117.14285714286,28.14,31.19,29.25142857142857,78.4,63.4,73.37,2.98,4.2,2.647142857142857,4.97,4.92,4.711428571428571,3,False,False,False,False,True,False,False,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,15.600000000000001,31.259999999999998,2107.5036,5.7749999999999995
2023-06-30,2023,6,30,114060.0,29.94,33.94,25.89,72.58,1.77,4.66,4.83,7.46,0.6737363025804172,0.5372836218375496,0.7265993265993266,0.7637072723101628,0.2403846153846154,0.0449199922884133,0.9967728482344996,0.9991462494539968,2.63,105250.0,125280.0,110514.28571428571,30.09,32.4,28.9,70.04,57.96,75.45857142857143,1.65,4.07,2.318571428571428,3.5,5.21,4.6571428571428575,4,True,False,False,False,False,False,False,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,17.14,35.440000000000005,2173.0452,8.549100000000001
2023-07-01,2023,7,1,117370.0,30.31,34.81,25.99,72.11,2.18,5.5,6.49,7.04,0.6868151290208554,0.5662450066577895,0.7299663299663299,0.7583161275521908,0.3192307692307693,0.0530171582803161,0.9984211780593396,0.9987293015129254,0.5499999999999998,114060.0,123670.0,109614.28571428571,29.94,30.96,28.807142857142853,72.58,65.81,76.35857142857142,1.77,3.59,2.117142857142857,4.83,5.69,4.771428571428571,5,False,False,True,False,False,False,False,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,17.44,38.06,2185.6540999999997,14.148200000000001
2023-07-02,2023,7,2,120600.0,30.78,35.23,26.69,70.04,2.85,8.28,4.89,7.06,0.7034287734181691,0.5802263648468706,0.7535353535353536,0.7345721495755908,0.4480769230769232,0.079814921920185,0.9968324264209396,0.998749156176786,2.17,117370.0,112130.0,110824.28571428571,30.31,27.77,29.23714285714286,72.11,80.72,74.83285714285715,2.18,2.34,2.1900000000000004,6.49,4.13,4.88,6,False,False,False,True,False,False,False,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,18.439999999999998,39.86,2155.8312,13.936499999999999
2023-07-03,2023,7,3,124290.0,31.42,37.1,25.69,66.63,2.74,5.94,6.23,7.32,0.7260516083421705,0.6424766977363514,0.7198653198653199,0.6954576737783894,0.426923076923077,0.0572585309427414,0.9981630059180996,0.9990072668069728,1.09,120600.0,105820.0,113462.85714285714,30.78,28.06,29.717142857142857,70.04,79.1,73.05142857142857,2.85,1.92,2.307142857142857,4.89,3.66,5.247142857142857,0,False,True,False,False,False,False,False,-0.4999999999999997,-0.8660254037844388,0.0,1.0,19.72,39.98,2093.5146,17.070200000000003
2023-07-04,2023,7,4,122200.0,32.86,39.22,27.02,61.35,2.85,2.08,5.99,7.57,0.7769529869211736,0.7130492676431424,0.7646464646464647,0.6348933241569167,0.4480769230769232,0.0200501253132832,0.9979246931723398,0.9992554501052298,1.58,124290.0,105290.0,115878.57142857143,31.42,27.34,30.505714285714287,66.63,81.56,70.16428571428573,2.74,1.98,2.4314285714285715,6.23,5.82,5.271428571428572,1,False,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,16.3,38.940000000000005,2015.961,17.0715
2023-07-05,2023,7,5,115510.0,31.9,37.28,27.11,67.09,2.0,10.48,5.93,6.65,0.7430187345351714,0.6484687083888148,0.7676767676767676,0.7007341133287451,0.2846153846153846,0.1010217852323115,0.9978651149858996,0.9983421355676448,0.7200000000000006,122200.0,107380.0,117040.0,32.86,28.14,31.04285714285714,61.35,78.4,68.54857142857144,2.85,2.98,2.291428571428572,5.99,4.97,5.408571428571428,2,False,False,False,False,False,False,True,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,18.5,44.22,2140.171,11.86
2023-07-06,2023,7,6,96280.0,28.9,32.0,26.47,78.86,1.61,0.6,5.71,6.82,0.6369741958289147,0.4727030625832222,0.7461279461279461,0.8357421426932782,0.2096153846153846,0.0057836899942163,0.9976466616356195,0.9985109002104596,1.1100000000000003,115510.0,105250.0,115758.57142857143,31.9,30.09,30.87285714285714,67.09,70.04,69.80857142857143,2.0,1.65,2.2857142857142856,5.93,3.5,5.724285714285714,3,False,False,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,13.16,37.54,2279.054,9.193100000000001
